Date,Open,High,Low,Close
7/5/2022,0.4585,0.4709,0.4446,0.4583
7/4/2022,0.4574,0.4746,0.4444,0.4585
7/3/2022,0.4559,0.4606,0.4435,0.4574
7/2/2022,0.4514,0.4605,0.4404,0.4559
7/1/2022,0.4401,0.4731,0.4395,0.4514
6/30/2022,0.4691,0.4718,0.435,0.4403
6/29/2022,0.476,0.4779,0.4587,0.4691
6/28/2022,0.4873,0.4965,0.4701,0.4758
6/27/2022,0.5067,0.5078,0.4757,0.4873
6/26/2022,0.4896,0.5247,0.4896,0.5067
6/25/2022,0.5016,0.5089,0.4786,0.4894
6/24/2022,0.477,0.5066,0.4715,0.5
6/23/2022,0.4618,0.4794,0.4563,0.4771
6/22/2022,0.4812,0.4868,0.458,0.4618
6/21/2022,0.4936,0.51,0.4789,0.4808
6/20/2022,0.4841,0.5075,0.4608,0.4951
6/19/2022,0.4344,0.4877,0.4344,0.484
6/18/2022,0.4903,0.4942,0.4212,0.4333
6/17/2022,0.4857,0.503,0.4667,0.491
6/16/2022,0.5103,0.5455,0.4781,0.4857
6/15/2022,0.4708,0.5298,0.4488,0.5102
6/14/2022,0.4796,0.5188,0.4372,0.4712
6/13/2022,0.5137,0.5204,0.4369,0.4814
6/12/2022,0.5526,0.5701,0.4976,0.5159
6/11/2022,0.58,0.6149,0.5446,0.5526
6/10/2022,0.635,0.6371,0.5722,0.5791
6/9/2022,0.639,0.6565,0.6259,0.635
6/8/2022,0.6327,0.6671,0.6016,0.6404
6/7/2022,0.601,0.6436,0.572,0.6327
6/6/2022,0.5729,0.6442,0.565,0.6014
6/5/2022,0.5608,0.5796,0.5534,0.5739
6/4/2022,0.5659,0.5745,0.5447,0.561
6/3/2022,0.5819,0.6041,0.5381,0.5654
6/2/2022,0.5475,0.5957,0.5409,0.582
6/1/2022,0.6024,0.6388,0.5389,0.5482
5/31/2022,0.552,0.6872,0.5482,0.602
5/30/2022,0.4744,0.5465,0.472,0.5459
5/29/2022,0.4639,0.4773,0.456,0.4738
5/28/2022,0.4578,0.4659,0.4477,0.4639
5/27/2022,0.481,0.4859,0.4451,0.4589
5/26/2022,0.5168,0.52,0.4636,0.481
5/25/2022,0.5136,0.5317,0.5067,0.5168
5/24/2022,0.5266,0.5292,0.4924,0.5136
5/23/2022,0.535,0.5584,0.517,0.5265
5/22/2022,0.5257,0.5472,0.5215,0.5369
5/21/2022,0.5141,0.5371,0.5082,0.5258
5/20/2022,0.5303,0.5441,0.501,0.5147
5/19/2022,0.5255,0.545,0.4917,0.5303
5/18/2022,0.5652,0.5851,0.515,0.5255
5/17/2022,0.5632,0.5996,0.5516,0.5655
5/16/2022,0.5886,0.6112,0.5452,0.5632
5/15/2022,0.5181,0.5904,0.5148,0.5889
5/14/2022,0.5454,0.5581,0.4886,0.5183
5/13/2022,0.4719,0.6029,0.4506,0.5461
5/12/2022,0.5025,0.5461,0.3856,0.4739
5/11/2022,0.6365,0.6608,0.5,0.5012
5/10/2022,0.6364,0.6995,0.5861,0.6365
5/9/2022,0.7525,0.7577,0.6111,0.6371
5/8/2022,0.7735,0.7764,0.7256,0.7525
5/7/2022,0.7874,0.7902,0.7642,0.7735
5/6/2022,0.8013,0.8021,0.7627,0.7874
5/5/2022,0.8695,0.9045,0.7735,0.8008
5/4/2022,0.7663,0.8782,0.7622,0.8695
5/3/2022,0.7745,0.7991,0.7606,0.764
5/2/2022,0.7821,0.7962,0.7643,0.7745
5/1/2022,0.7807,0.7999,0.7373,0.7821
4/30/2022,0.8021,0.8174,0.7795,0.7805
4/29/2022,0.8426,0.8559,0.79,0.8021
4/28/2022,0.8373,0.8519,0.8258,0.8426
4/27/2022,0.8302,0.8563,0.8177,0.8373
4/26/2022,0.8906,0.9025,0.8176,0.8296
4/25/2022,0.8852,0.8922,0.8277,0.8897
4/24/2022,0.8985,0.901,0.8784,0.8852
4/23/2022,0.91,0.9117,0.8828,0.8985
4/22/2022,0.9182,0.9242,0.8919,0.91
4/21/2022,0.9412,0.9705,0.9171,0.9185
4/20/2022,0.9421,0.9747,0.9308,0.9412
4/19/2022,0.9287,0.9563,0.9274,0.9421
4/18/2022,0.943,0.9439,0.8756,0.9284
4/17/2022,0.9437,0.962,0.9386,0.943
4/16/2022,0.955,0.9617,0.9384,0.9437
4/15/2022,0.9322,0.9586,0.929,0.955
4/14/2022,0.9689,0.9842,0.9237,0.9315
4/13/2022,0.937,0.9786,0.936,0.9689
4/12/2022,0.9428,0.9807,0.9175,0.937
4/11/2022,1.0631,1.0667,0.9344,0.9434
4/10/2022,1.0279,1.0684,1.0279,1.0631
4/9/2022,1.049,1.0512,1.0198,1.0277
4/8/2022,1.0862,1.0994,1.0439,1.049
4/7/2022,1.0978,1.1018,1.0402,1.0862
4/6/2022,1.1897,1.1897,1.0619,1.0978
4/5/2022,1.1987,1.2177,1.181,1.1875
4/4/2022,1.1791,1.2431,1.1624,1.1987
4/3/2022,1.16,1.1858,1.145,1.1791
4/2/2022,1.1693,1.1951,1.15,1.16
4/1/2022,1.1572,1.174,1.1058,1.1694
3/31/2022,1.202,1.2278,1.136,1.1572
3/30/2022,1.1912,1.2174,1.1639,1.202
3/29/2022,1.2339,1.2411,1.163,1.1905
3/28/2022,1.1551,1.2448,1.1469,1.2339
3/27/2022,1.1339,1.1588,1.1063,1.1538
3/26/2022,1.1061,1.1408,1.0811,1.1339
3/25/2022,1.1698,1.1698,1.0736,1.1072
3/24/2022,1.0644,1.189,1.0642,1.1696
3/23/2022,0.9671,1.0984,0.9583,1.0647
3/22/2022,0.9035,0.9876,0.8995,0.9671
3/21/2022,0.8762,0.9292,0.8633,0.9032
3/20/2022,0.9078,0.9151,0.865,0.8762
3/19/2022,0.8544,0.9151,0.8487,0.9078
3/18/2022,0.8335,0.8598,0.8223,0.8551
3/17/2022,0.8302,0.8578,0.824,0.8335
3/16/2022,0.8033,0.8333,0.7948,0.8302
3/15/2022,0.7927,0.8167,0.7836,0.803
3/14/2022,0.7995,0.8122,0.7788,0.7927
3/13/2022,0.7937,0.82,0.7817,0.7995
3/12/2022,0.7943,0.8013,0.7865,0.7937
3/11/2022,0.806,0.8181,0.7831,0.7944
3/10/2022,0.8418,0.8532,0.7886,0.806
3/9/2022,0.7921,0.8624,0.7921,0.8419
3/8/2022,0.7974,0.82,0.7878,0.7926
3/7/2022,0.8407,0.8461,0.7782,0.7974
3/6/2022,0.8642,0.8711,0.8293,0.8407
3/5/2022,0.8415,0.8816,0.8197,0.8642
3/4/2022,0.8959,0.9103,0.8381,0.8415
3/3/2022,0.9474,0.9495,0.8848,0.8957
3/2/2022,0.9582,0.9772,0.9286,0.9435
3/1/2022,0.9303,1.007,0.9303,0.9582
2/28/2022,0.8461,0.95,0.841,0.9303
2/27/2022,0.9033,0.9035,0.8337,0.8482
2/26/2022,0.8828,0.9292,0.8782,0.903
2/25/2022,0.8669,0.8941,0.8249,0.8822
2/24/2022,0.8863,0.896,0.7475,0.866
2/23/2022,0.8763,0.9579,0.8685,0.888
2/22/2022,0.8758,0.897,0.8144,0.8757
2/21/2022,0.9345,0.9909,0.8813,0.8813
2/20/2022,0.988,0.9987,0.9187,0.9344
2/19/2022,0.9977,1.0185,0.975,0.988
2/18/2022,1.0258,1.0421,0.9925,0.9978
2/17/2022,1.0861,1.0926,1.0103,1.0255
2/16/2022,1.0905,1.1145,1.0675,1.085
2/15/2022,1.0415,1.113,1.0413,1.0908
2/14/2022,1.0414,1.0538,1.0169,1.041
2/13/2022,1.0486,1.0752,1.0336,1.0414
2/12/2022,1.0927,1.0949,1.031,1.0486
2/11/2022,1.1619,1.173,1.0888,1.0927
2/10/2022,1.205,1.2218,1.1504,1.1619
2/9/2022,1.1686,1.215,1.1537,1.2036
2/8/2022,1.1879,1.2621,1.1349,1.1686
2/7/2022,1.1264,1.2083,1.1224,1.1871
2/6/2022,1.1259,1.1443,1.1007,1.1264
2/5/2022,1.1092,1.1753,1.098,1.1259
2/4/2022,1.0558,1.1145,1.0468,1.1083
2/3/2022,1.0317,1.0585,1.0174,1.0558
2/2/2022,1.0815,1.1018,1.0239,1.03
2/1/2022,1.0479,1.0792,1.0355,1.0782
